feature,coefficient
rolling_PT08.S5O3_max_12,9.988680810679409e-05
rolling_PT08.S5O3_min_12,0.0005343469621844042
rolling_PT08.S5O3_mean_24,0.00022376625361734945
rolling_PT08.S5O3_std_24,-0.0009698400989340892
rolling_PT08.S5O3_max_24,1.0129298039774342e-05
rolling_PT08.S5O3_min_24,-0.0009256369011651036
rolling_T_mean_3,0.012379612862804857
rolling_T_std_3,-0.001065606769286045
rolling_T_max_3,0.001616592551594892
rolling_T_min_3,0.009293539734422197
rolling_T_mean_6,-0.009433583996713272
rolling_T_std_6,-0.013935650928933303
rolling_T_max_6,-0.0
rolling_T_min_6,0.023813816174098727
rolling_T_mean_12,-0.024095948408037863
rolling_T_std_12,-0.0
rolling_T_max_12,-0.005782116361059394
rolling_T_min_12,-0.0
rolling_T_mean_24,0.008179275636857873
rolling_T_std_24,0.0013886263190894467
rolling_T_max_24,0.0015508133603936698
rolling_T_min_24,-0.0029540982826249534
rolling_RH_mean_3,0.003712494358794653
rolling_RH_std_3,-0.013776580466744844
rolling_RH_max_3,0.0017005316361777534
rolling_RH_min_3,0.003799157246080786
rolling_RH_mean_6,0.009393878040563707
rolling_RH_std_6,0.025563719222835266
rolling_RH_max_6,-0.0
rolling_RH_min_6,-0.0
rolling_RH_mean_12,0.0
rolling_RH_std_12,0.00950971627224857
rolling_RH_max_12,0.003272338392636505
rolling_RH_min_12,-0.0009668032555591997
rolling_RH_mean_24,0.0010546719123936841
rolling_RH_std_24,-0.022909915187186
rolling_RH_max_24,0.0
rolling_RH_min_24,-0.005134295795889067
rolling_AH_mean_3,0.7854365937196618
rolling_AH_std_3,-0.0
rolling_AH_max_3,0.5069598567508973
rolling_AH_min_3,0.608391122722755
rolling_AH_mean_6,0.9752897428794259
rolling_AH_std_6,0.4912975755639637
rolling_AH_max_6,0.19371732234411757
rolling_AH_min_6,0.25776162065980657
rolling_AH_mean_12,0.39001069466785787
rolling_AH_std_12,-0.654821599931268
rolling_AH_max_12,0.0
rolling_AH_min_12,0.0
rolling_AH_mean_24,0.8923624809933671
rolling_AH_std_24,-0.0
rolling_AH_max_24,0.3894655567757357
rolling_AH_min_24,0.029151160629554338
COGT_lag_1,-0.502974053683164
COGT_lag_2,0.08374197283999295
COGT_lag_3,0.07382143493979615
COGT_lag_6,0.04836820532066972
COGT_lag_9,0.049845762856148966
COGT_lag_12,-0.033626325811214594
COGT_lag_24,-0.15396322938801932
C6H6GT_lag_1,0.1747807948178752
C6H6GT_lag_2,0.001950347015392807
C6H6GT_lag_3,0.0052459818230528605
C6H6GT_lag_6,-0.018738881005863114
C6H6GT_lag_9,-0.00280109978366784
C6H6GT_lag_12,-0.010330590618654701
C6H6GT_lag_24,0.027266731075683247
NOxGT_lag_1,-0.00021377389585999638
NOxGT_lag_2,-0.0008008753150026913
NOxGT_lag_3,-0.0009137461282203944
NOxGT_lag_6,-0.00023476123673511035
NOxGT_lag_9,0.00034950947234446196
NOxGT_lag_12,5.1834722674848666e-05
NOxGT_lag_24,0.00066931743455856
NO2GT_lag_1,-0.0008144050217963792
NO2GT_lag_2,0.0034047135815119625
NO2GT_lag_3,0.001306509183703602
NO2GT_lag_6,-0.0018814681030596776
NO2GT_lag_9,-0.0031262829667908706
NO2GT_lag_12,0.00017762511657282352
NO2GT_lag_24,-0.0003762247219339931
hour_1,0.058826066015957294
hour_2,0.05692727457700225
hour_3,0.08880426478669029
hour_4,0.037430845979745955
hour_5,0.0
hour_6,-0.07285098302953952
